userId,movieId,rating,timestamp
1,1,4,964982703
1,3,4,964981247
1,6,4,964982224
5,1,4,847434962
6,2,4,845553522
6,3,5,845554296
6,4,3,845554349
6,5,5,845553938
6,6,4,845553757
6,7,4,845554264
6,8,3,845555281
6,10,3,845553253
6,11,4,845553489
6,13,3,845555588
6,15,4,845554505
6,16,4,845553819
6,17,4,845553559
6,19,2,845553382
7,1,4.5,1106635946
8,2,4,839463806
8,10,2,839463509
8,11,4,839463806
11,6,5,902154266
11,10,3,902154316
14,4,3,835441653
14,7,3,835441989
14,19,1,835441168
15,1,2.5,1510577970
17,1,4.5,1305696483
18,1,3.5,1455209816
18,2,3,1455617462
18,6,4,1460138360
18,16,4.5,1461311583
19,1,4,965705637
19,2,3,965704331
19,3,3,965707636
19,7,2,965706657
19,10,2,965709556
19,12,1,965705347
19,13,3,965709102
19,15,2,965710039
19,19,2,965708339
20,2,3,1054038313
20,8,1,1054038422
20,13,4,1054038425
21,1,3.5,1407618878
21,2,3.5,1419795031
21,10,5,1403459783
21,19,2.5,1419795052
23,6,4,1107342267
24,6,4.5,1458941767
26,10,3,836950403
27,1,3,962685262
27,2,4,962685711
28,6,3.5,1234570483
28,16,2.5,1234570375
31,1,5,850466616
31,5,3,850466642
31,7,4,850466642
31,10,4,850467366
31,17,3,850466616
32,1,3,856736119
32,3,3,856736172
32,6,3,856736172
32,7,4,856736173
33,1,3,939647444
33,7,1,939654896
33,11,2,939654896
33,17,4,939654828
34,10,5,1162048773
35,11,4,830939577
38,11,5,841341447
38,17,3,841341494
40,1,5,832058959
40,17,5,832059273
40,19,2,832059137
42,3,4,996221045
42,7,3,996220162
42,10,5,996215205
42,11,5,996219314
42,16,5,996218017
42,19,2,996256258
43,1,5,848993983
43,3,5,848994405
43,5,5,848994281
43,7,5,848994392
43,8,5,848994814
43,10,4,848993747
43,11,4,848993928
44,1,3,869251860
44,3,3,869251910
44,6,3,869251910
44,12,1,869252043
44,18,4,869252115
45,1,4,951170182
45,5,3,959625102
45,6,4,1121724608
45,7,3,951170390
45,11,3,951170225
45,19,4.5,1091306129
46,1,5,834787906
46,10,3,834787826
50,1,3,1514238116
51,2,4.5,1230932741
51,3,4,1230932736
51,7,4,1230932700
54,1,3,830247330
54,17,3,830248246
56,10,4,835799162
56,11,4,835799366
56,19,5,835799219
57,1,5,965796031
57,6,3,972173446
57,10,3,965798286
57,11,3,965797264
58,3,3,847719397
58,5,4,847719151
58,7,5,847719397
58,19,1,847718718
59,10,3,953609378
61,16,4,1145531659
62,2,4,1528843890
62,6,4.5,1522190219
63,1,5,1443199669
63,10,3,1443201199
64,1,4,1161520134
64,3,3.5,1161519668
64,6,4.5,1161520752
64,16,5,1161528794
64,19,3.5,1161521687
66,1,4,1104643957
66,5,4,1113190367
66,18,4,1113190353
66,19,3,1093143913
68,1,2.5,1158531426
68,2,2.5,1158532776
68,3,2,1158533415
68,5,2,1158533624
68,6,4,1158532058
68,7,2,1230498124
68,10,4.5,1158531612
68,11,4.5,1158531050
68,16,3.5,1158533018
68,17,3.5,1158531987
68,18,2,1532897231
68,19,1.5,1158532448
71,1,5,864737933
71,7,3,864738008
71,17,1,864737933
73,1,4.5,1464196374
76,1,0.5,1439165548
78,1,4,1252575124
78,20,3,1252573422
79,6,4,975282111
81,10,1,845299756
82,1,2.5,1084467729
82,2,3,1084465035
82,6,3.5,1084467865
82,10,3.5,1084467796
84,4,3,858772461
84,5,3,857653289
84,6,4,857653289
84,7,3,857653289
84,10,3,860397812
84,11,4,858771861
84,14,4,857653349
84,17,5,857653240
86,1,4,1344082549
88,16,4.5,1331421395
89,1,3,1520408314
89,11,2.5,1520408449
90,1,3,856353996
90,7,4,856354037
90,14,5,856354100
90,17,5,856353996
91,1,4,1112713037
91,2,3,1112713392
91,3,3,1112712323
91,6,5,1112712032
91,10,3.5,1112713269
91,16,4.5,1112710867
91,19,2,1112713417
93,1,3,942767337
93,2,5,942946208
93,10,4,942946208
93,15,4,942946091
94,2,4,843406960
94,10,3,843406732
94,11,3,843406930
94,17,1,843406942
94,19,2,843406846
95,7,3,1043340043
95,18,3.5,1105400752
96,1,5,964772990
98,1,4.5,1532457849
99,10,4,829827514
100,3,3.5,1100183804
100,11,4,1100184041
100,16,4.5,1100185959
100,17,4.5,1100184147
100,19,1,1100183757
102,3,5,840635033
102,6,3,835877535
103,1,4,1431954238
103,2,4,1431957270
103,5,4,1431957598
103,16,5,1450982615
103,18,5,1431969228
103,19,3.5,1431957278
104,2,3,1114809641
104,10,3,1048595683
105,6,4,1446773632
105,16,4.5,1446749417
107,1,4,829322340
107,2,5,829322340
107,5,4,829322340
107,11,5,829322340
109,6,3,841108665
109,11,4,841108045
109,14,4,841109326
109,16,4,841108751
109,18,3,841109921
111,5,3.5,1517441319
111,16,4.5,1518640768
112,1,3,1442535639
112,2,1.5,1513989948
112,6,4.5,1513989933
112,16,4.5,1513990003
112,17,0.5,1513989967
112,19,4,1513989970
113,11,3,980051838
116,3,3.5,1337200325
117,2,3,844163002
117,3,3,844163663
117,5,3,844163754
117,6,3,844163102
117,7,4,844163615
117,10,3,844162850
117,11,4,844162970
117,17,3,844163037
117,19,2,844162892
119,1,3.5,1435942468
119,10,4,1435943180
120,5,4,860070029
120,12,3,860070182
121,1,4,847656180
121,5,3,847656405
121,6,5,847656264
121,11,4,847656100
121,16,5,847656340
121,19,2,847656045
122,2,4,1461561176
122,19,3.5,1461562132
124,1,4,1336584336
125,2,4,1474311709
130,1,3,832589610
